"local_path","source_type","original_source_url","author_or_uploader","license_or_permission_basis","modified","review_status"
"assets/images/items/resource/block-of-coal.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Coal_JE3_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/block-of-copper.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Copper_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/block-of-diamond.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Diamond_JE5_BE3.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/block-of-emerald.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Emerald_JE4_BE3.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/block-of-gold.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Gold_JE6_BE3.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/block-of-iron.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Iron_JE4_BE3.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/block-of-lapis-lazuli.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Lapis_Lazuli_JE3_BE3.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/block-of-netherite.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Netherite_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/block-of-raw-copper.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Raw_Copper_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/block-of-raw-gold.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Raw_Gold_JE3_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/block-of-raw-iron.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Raw_Iron_JE3_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/block-of-redstone.png","minecraft-wiki","https://minecraft.wiki/w/File:Block_of_Redstone_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/bottle-o-enchanting.gif","minecraft-wiki","https://minecraft.wiki/w/File:Bottle_o'_Enchanting.gif","","probable Mojang asset; Minecraft Usage Guidelines review needed","re-encoded","source-recovered"
"assets/images/items/resource/budding-amethyst.png","minecraft-wiki","https://minecraft.wiki/w/File:Budding_Amethyst_JE3_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/common-essence.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
